record_id,year,facility_id,operator,region_code,region_name,commodity,resource_or_reserve,unit,classification,report_basis,source_office,data_status
RR-2024-028,2024,MGB-FAC-028,Synthetic Mineral Operation 28,R03,Central Luzon,Nickel ore,61.78,million metric tonnes,inferred,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2024-029,2024,MGB-FAC-029,Synthetic Mineral Operation 29,R07,Central Visayas,Gold ore,69.89,million metric tonnes,measured,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2024-030,2024,MGB-FAC-030,Synthetic Mineral Operation 30,R12,SOCCSKSARGEN,Copper concentrate,44.66,million metric tonnes,measured,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2024-031,2024,MGB-FAC-031,Synthetic Mineral Operation 31,R01,Ilocos Region,Limestone,56.32,million metric tonnes,indicated,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2024-032,2024,MGB-FAC-032,Synthetic Mineral Operation 32,R05,Bicol Region,Silica,18.64,million metric tonnes,inferred,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2024-033,2024,MGB-FAC-033,Synthetic Mineral Operation 33,R10,Northern Mindanao,Chromite,68.41,million metric tonnes,measured,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2024-034,2024,MGB-FAC-034,Synthetic Mineral Operation 34,NCR,National Capital Region,Aggregates,41.08,million metric tonnes,indicated,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2024-035,2024,MGB-FAC-035,Synthetic Mineral Operation 35,R04A,CALABARZON,Nickel ore,87.53,million metric tonnes,inferred,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2024-036,2024,MGB-FAC-036,Synthetic Mineral Operation 36,R08,Eastern Visayas,Gold ore,60.89,million metric tonnes,measured,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2025-001,2025,MGB-FAC-001,Synthetic Mineral Operation 01,R04A,CALABARZON,Gold ore,7.23,million metric tonnes,indicated,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2025-002,2025,MGB-FAC-002,Synthetic Mineral Operation 02,R08,Eastern Visayas,Copper concentrate,48.91,million metric tonnes,inferred,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2025-003,2025,MGB-FAC-003,Synthetic Mineral Operation 03,R13,Caraga,Limestone,1.51,million metric tonnes,measured,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2025-004,2025,MGB-FAC-004,Synthetic Mineral Operation 04,R02,Cagayan Valley,Silica,76,million metric tonnes,indicated,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2025-005,2025,MGB-FAC-005,Synthetic Mineral Operation 05,R06,Western Visayas,Chromite,46.69,million metric tonnes,inferred,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2025-006,2025,MGB-FAC-006,Synthetic Mineral Operation 06,R11,Davao Region,Aggregates,69.99,million metric tonnes,measured,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2025-007,2025,MGB-FAC-007,Synthetic Mineral Operation 07,CAR,Cordillera Administrative Region,Nickel ore,33.27,million metric tonnes,indicated,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2025-008,2025,MGB-FAC-008,Synthetic Mineral Operation 08,MIMAROPA,MIMAROPA Region,Gold ore,14.34,million metric tonnes,inferred,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2025-009,2025,MGB-FAC-009,Synthetic Mineral Operation 09,R09,Zamboanga Peninsula,Copper concentrate,17.93,million metric tonnes,measured,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2025-010,2025,MGB-FAC-010,Synthetic Mineral Operation 10,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,Limestone,13.58,million metric tonnes,measured,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2025-011,2025,MGB-FAC-011,Synthetic Mineral Operation 11,R03,Central Luzon,Silica,22.56,million metric tonnes,indicated,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2025-012,2025,MGB-FAC-012,Synthetic Mineral Operation 12,R07,Central Visayas,Chromite,55.39,million metric tonnes,inferred,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2025-013,2025,MGB-FAC-013,Synthetic Mineral Operation 13,R12,SOCCSKSARGEN,Aggregates,42.78,million metric tonnes,measured,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2025-014,2025,MGB-FAC-014,Synthetic Mineral Operation 14,R01,Ilocos Region,Nickel ore,51.75,million metric tonnes,indicated,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2025-015,2025,MGB-FAC-015,Synthetic Mineral Operation 15,R05,Bicol Region,Gold ore,3.92,million metric tonnes,inferred,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2025-016,2025,MGB-FAC-016,Synthetic Mineral Operation 16,R10,Northern Mindanao,Copper concentrate,91.19,million metric tonnes,measured,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2025-017,2025,MGB-FAC-017,Synthetic Mineral Operation 17,NCR,National Capital Region,Limestone,54.54,million metric tonnes,indicated,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2025-018,2025,MGB-FAC-018,Synthetic Mineral Operation 18,R04A,CALABARZON,Silica,20.43,million metric tonnes,inferred,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2025-019,2025,MGB-FAC-019,Synthetic Mineral Operation 19,R08,Eastern Visayas,Chromite,25.29,million metric tonnes,measured,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2025-020,2025,MGB-FAC-020,Synthetic Mineral Operation 20,R13,Caraga,Aggregates,43.55,million metric tonnes,measured,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2025-021,2025,MGB-FAC-021,Synthetic Mineral Operation 21,R02,Cagayan Valley,Nickel ore,19.73,million metric tonnes,indicated,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2025-022,2025,MGB-FAC-022,Synthetic Mineral Operation 22,R06,Western Visayas,Gold ore,22.91,million metric tonnes,inferred,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2025-023,2025,MGB-FAC-023,Synthetic Mineral Operation 23,R11,Davao Region,Copper concentrate,18.4,million metric tonnes,measured,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2025-024,2025,MGB-FAC-024,Synthetic Mineral Operation 24,CAR,Cordillera Administrative Region,Limestone,23.79,million metric tonnes,indicated,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2025-025,2025,MGB-FAC-025,Synthetic Mineral Operation 25,MIMAROPA,MIMAROPA Region,Silica,30.09,million metric tonnes,inferred,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2025-026,2025,MGB-FAC-026,Synthetic Mineral Operation 26,R09,Zamboanga Peninsula,Chromite,2.12,million metric tonnes,measured,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2025-027,2025,MGB-FAC-027,Synthetic Mineral Operation 27,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,Aggregates,9.99,million metric tonnes,indicated,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2025-028,2025,MGB-FAC-028,Synthetic Mineral Operation 28,R03,Central Luzon,Nickel ore,24.47,million metric tonnes,inferred,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2025-029,2025,MGB-FAC-029,Synthetic Mineral Operation 29,R07,Central Visayas,Gold ore,3.81,million metric tonnes,measured,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2025-030,2025,MGB-FAC-030,Synthetic Mineral Operation 30,R12,SOCCSKSARGEN,Copper concentrate,76.1,million metric tonnes,measured,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2025-031,2025,MGB-FAC-031,Synthetic Mineral Operation 31,R01,Ilocos Region,Limestone,69.51,million metric tonnes,indicated,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2025-032,2025,MGB-FAC-032,Synthetic Mineral Operation 32,R05,Bicol Region,Silica,83.45,million metric tonnes,inferred,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2025-033,2025,MGB-FAC-033,Synthetic Mineral Operation 33,R10,Northern Mindanao,Chromite,27.35,million metric tonnes,measured,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2025-034,2025,MGB-FAC-034,Synthetic Mineral Operation 34,NCR,National Capital Region,Aggregates,92.07,million metric tonnes,indicated,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2025-035,2025,MGB-FAC-035,Synthetic Mineral Operation 35,R04A,CALABARZON,Nickel ore,85.97,million metric tonnes,inferred,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
RR-2025-036,2025,MGB-FAC-036,Synthetic Mineral Operation 36,R08,Eastern Visayas,Gold ore,15.29,million metric tonnes,measured,MGB Form 29-19,DENR-MGB,SYNTHETIC_DEMO
