record_id,year,facility_id,operator,region_code,region_name,commodity,production_volume,unit,production_value_php,report_basis,source_office,data_status
MP-2024-006,2024,MGB-FAC-006,Synthetic Mineral Operation 06,R11,Davao Region,Aggregates,848394.8,metric tonne,15046702819.34,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2024-007,2024,MGB-FAC-007,Synthetic Mineral Operation 07,CAR,Cordillera Administrative Region,Nickel ore,678054.1,metric tonne,5444825047.77,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2024-008,2024,MGB-FAC-008,Synthetic Mineral Operation 08,MIMAROPA,MIMAROPA Region,Gold ore,373317.9,metric tonne,3861282356.44,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2024-009,2024,MGB-FAC-009,Synthetic Mineral Operation 09,R09,Zamboanga Peninsula,Copper concentrate,279878.9,metric tonne,3074235738.95,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2024-010,2024,MGB-FAC-010,Synthetic Mineral Operation 10,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,Limestone,338628.3,metric tonne,2536709050.79,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2024-011,2024,MGB-FAC-011,Synthetic Mineral Operation 11,R03,Central Luzon,Silica,210003.9,metric tonne,2078318654.88,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2024-012,2024,MGB-FAC-012,Synthetic Mineral Operation 12,R07,Central Visayas,Chromite,155110.9,metric tonne,664024113.11,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2024-013,2024,MGB-FAC-013,Synthetic Mineral Operation 13,R12,SOCCSKSARGEN,Aggregates,79463.9,metric tonne,101438196.49,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2024-014,2024,MGB-FAC-014,Synthetic Mineral Operation 14,R01,Ilocos Region,Nickel ore,691531.8,metric tonne,9716575296.4,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2024-015,2024,MGB-FAC-015,Synthetic Mineral Operation 15,R05,Bicol Region,Gold ore,604304.4,metric tonne,723448987.23,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2024-016,2024,MGB-FAC-016,Synthetic Mineral Operation 16,R10,Northern Mindanao,Copper concentrate,745792.4,metric tonne,713217985.13,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2024-017,2024,MGB-FAC-017,Synthetic Mineral Operation 17,NCR,National Capital Region,Limestone,661739.6,metric tonne,4346477070.68,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2024-018,2024,MGB-FAC-018,Synthetic Mineral Operation 18,R04A,CALABARZON,Silica,164263.1,metric tonne,1623400145.05,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2024-019,2024,MGB-FAC-019,Synthetic Mineral Operation 19,R08,Eastern Visayas,Chromite,130986,metric tonne,245221552.99,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2024-020,2024,MGB-FAC-020,Synthetic Mineral Operation 20,R13,Caraga,Aggregates,272516.9,metric tonne,3706682883.24,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2024-021,2024,MGB-FAC-021,Synthetic Mineral Operation 21,R02,Cagayan Valley,Nickel ore,5261.5,metric tonne,89155429.03,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2024-022,2024,MGB-FAC-022,Synthetic Mineral Operation 22,R06,Western Visayas,Gold ore,741426.4,metric tonne,4150995784.92,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2024-023,2024,MGB-FAC-023,Synthetic Mineral Operation 23,R11,Davao Region,Copper concentrate,582871.3,metric tonne,2659536664.38,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2024-024,2024,MGB-FAC-024,Synthetic Mineral Operation 24,CAR,Cordillera Administrative Region,Limestone,533190.7,metric tonne,6552440584.16,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2024-025,2024,MGB-FAC-025,Synthetic Mineral Operation 25,MIMAROPA,MIMAROPA Region,Silica,592199.1,metric tonne,7537605211.67,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2024-026,2024,MGB-FAC-026,Synthetic Mineral Operation 26,R09,Zamboanga Peninsula,Chromite,739811.9,metric tonne,1979992975.67,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2024-027,2024,MGB-FAC-027,Synthetic Mineral Operation 27,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,Aggregates,31943.2,metric tonne,356497163.93,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2024-028,2024,MGB-FAC-028,Synthetic Mineral Operation 28,R03,Central Luzon,Nickel ore,762477.8,metric tonne,12590257343.51,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2024-029,2024,MGB-FAC-029,Synthetic Mineral Operation 29,R07,Central Visayas,Gold ore,310712.1,metric tonne,2174611317.28,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2024-030,2024,MGB-FAC-030,Synthetic Mineral Operation 30,R12,SOCCSKSARGEN,Copper concentrate,42969.7,metric tonne,322342650.92,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2024-031,2024,MGB-FAC-031,Synthetic Mineral Operation 31,R01,Ilocos Region,Limestone,328606.2,metric tonne,5724271820.7,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2024-032,2024,MGB-FAC-032,Synthetic Mineral Operation 32,R05,Bicol Region,Silica,720559.6,metric tonne,10424926714.42,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2024-033,2024,MGB-FAC-033,Synthetic Mineral Operation 33,R10,Northern Mindanao,Chromite,839074.6,metric tonne,8161694784.19,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2024-034,2024,MGB-FAC-034,Synthetic Mineral Operation 34,NCR,National Capital Region,Aggregates,861393.5,metric tonne,11065445327.64,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2024-035,2024,MGB-FAC-035,Synthetic Mineral Operation 35,R04A,CALABARZON,Nickel ore,476986.8,metric tonne,780611212.23,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2024-036,2024,MGB-FAC-036,Synthetic Mineral Operation 36,R08,Eastern Visayas,Gold ore,167314.6,metric tonne,412479570.48,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2025-001,2025,MGB-FAC-001,Synthetic Mineral Operation 01,R04A,CALABARZON,Gold ore,452710.4,metric tonne,3863931541.1,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2025-002,2025,MGB-FAC-002,Synthetic Mineral Operation 02,R08,Eastern Visayas,Copper concentrate,778624.8,metric tonne,11524965935.68,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2025-003,2025,MGB-FAC-003,Synthetic Mineral Operation 03,R13,Caraga,Limestone,544497.7,metric tonne,4492448639.6,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2025-004,2025,MGB-FAC-004,Synthetic Mineral Operation 04,R02,Cagayan Valley,Silica,105923.8,metric tonne,477257897.25,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2025-005,2025,MGB-FAC-005,Synthetic Mineral Operation 05,R06,Western Visayas,Chromite,752101.4,metric tonne,10251901445.45,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2025-006,2025,MGB-FAC-006,Synthetic Mineral Operation 06,R11,Davao Region,Aggregates,362116.8,metric tonne,2464930046.18,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2025-007,2025,MGB-FAC-007,Synthetic Mineral Operation 07,CAR,Cordillera Administrative Region,Nickel ore,276574.9,metric tonne,1391260588.89,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2025-008,2025,MGB-FAC-008,Synthetic Mineral Operation 08,MIMAROPA,MIMAROPA Region,Gold ore,809251.2,metric tonne,3681064373.2,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2025-009,2025,MGB-FAC-009,Synthetic Mineral Operation 09,R09,Zamboanga Peninsula,Copper concentrate,84235.8,metric tonne,1275839372.63,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2025-010,2025,MGB-FAC-010,Synthetic Mineral Operation 10,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,Limestone,823867.8,metric tonne,1166090147.16,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2025-011,2025,MGB-FAC-011,Synthetic Mineral Operation 11,R03,Central Luzon,Silica,307116.6,metric tonne,1391709315.79,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2025-012,2025,MGB-FAC-012,Synthetic Mineral Operation 12,R07,Central Visayas,Chromite,89011,metric tonne,970695252.49,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2025-013,2025,MGB-FAC-013,Synthetic Mineral Operation 13,R12,SOCCSKSARGEN,Aggregates,368822.2,metric tonne,1986486873.33,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2025-014,2025,MGB-FAC-014,Synthetic Mineral Operation 14,R01,Ilocos Region,Nickel ore,489703.7,metric tonne,6883023121.3,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2025-015,2025,MGB-FAC-015,Synthetic Mineral Operation 15,R05,Bicol Region,Gold ore,301833.9,metric tonne,1370795615.4,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2025-016,2025,MGB-FAC-016,Synthetic Mineral Operation 16,R10,Northern Mindanao,Copper concentrate,576133.5,metric tonne,1956717208.41,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2025-017,2025,MGB-FAC-017,Synthetic Mineral Operation 17,NCR,National Capital Region,Limestone,776025.1,metric tonne,8729853262.99,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2025-018,2025,MGB-FAC-018,Synthetic Mineral Operation 18,R04A,CALABARZON,Silica,65457.6,metric tonne,215887360.44,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2025-019,2025,MGB-FAC-019,Synthetic Mineral Operation 19,R08,Eastern Visayas,Chromite,353397.4,metric tonne,2921083472.03,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2025-020,2025,MGB-FAC-020,Synthetic Mineral Operation 20,R13,Caraga,Aggregates,748849.7,metric tonne,13014336711.18,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2025-021,2025,MGB-FAC-021,Synthetic Mineral Operation 21,R02,Cagayan Valley,Nickel ore,89688.1,metric tonne,217413220.56,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2025-022,2025,MGB-FAC-022,Synthetic Mineral Operation 22,R06,Western Visayas,Gold ore,248213.9,metric tonne,1731512708.83,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2025-023,2025,MGB-FAC-023,Synthetic Mineral Operation 23,R11,Davao Region,Copper concentrate,755236,metric tonne,4141450661.97,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2025-024,2025,MGB-FAC-024,Synthetic Mineral Operation 24,CAR,Cordillera Administrative Region,Limestone,770349.9,metric tonne,6286966572.11,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2025-025,2025,MGB-FAC-025,Synthetic Mineral Operation 25,MIMAROPA,MIMAROPA Region,Silica,648443.7,metric tonne,10911307882.58,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2025-026,2025,MGB-FAC-026,Synthetic Mineral Operation 26,R09,Zamboanga Peninsula,Chromite,794344.2,metric tonne,5391048885.76,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2025-027,2025,MGB-FAC-027,Synthetic Mineral Operation 27,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,Aggregates,441107.9,metric tonne,2899340379.62,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2025-028,2025,MGB-FAC-028,Synthetic Mineral Operation 28,R03,Central Luzon,Nickel ore,489798.6,metric tonne,3058604660.5,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2025-029,2025,MGB-FAC-029,Synthetic Mineral Operation 29,R07,Central Visayas,Gold ore,537246.3,metric tonne,6212923792.63,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2025-030,2025,MGB-FAC-030,Synthetic Mineral Operation 30,R12,SOCCSKSARGEN,Copper concentrate,251675.5,metric tonne,836468482.05,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2025-031,2025,MGB-FAC-031,Synthetic Mineral Operation 31,R01,Ilocos Region,Limestone,180022.5,metric tonne,1394182619.44,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2025-032,2025,MGB-FAC-032,Synthetic Mineral Operation 32,R05,Bicol Region,Silica,670002.1,metric tonne,10090423613.12,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2025-033,2025,MGB-FAC-033,Synthetic Mineral Operation 33,R10,Northern Mindanao,Chromite,713887.4,metric tonne,11082662150.68,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2025-034,2025,MGB-FAC-034,Synthetic Mineral Operation 34,NCR,National Capital Region,Aggregates,85543.1,metric tonne,338057217,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2025-035,2025,MGB-FAC-035,Synthetic Mineral Operation 35,R04A,CALABARZON,Nickel ore,618132.3,metric tonne,5661879419.12,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
MP-2025-036,2025,MGB-FAC-036,Synthetic Mineral Operation 36,R08,Eastern Visayas,Gold ore,493634.7,metric tonne,3462908920.58,MGB Forms 29-1 to 29-16 family / synthetic consolidation,DENR-MGB,SYNTHETIC_DEMO
