record_id,year,region_code,region_name,facility,fuel_or_source,activity_value,activity_unit,co2_t,ch4_t,n2o_t,source_office,data_status
AQ-2025-004,2025,R09,Zamboanga Peninsula,Synthetic Permitted Source 04,coal,29325.6,demo activity unit,10543.3,20.298,10.321,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
AQ-2025-005,2025,R12,SOCCSKSARGEN,Synthetic Permitted Source 05,biomass,31084,demo activity unit,27804.3,5.022,15.6,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
AQ-2025-006,2025,NCR,National Capital Region,Synthetic Permitted Source 06,diesel,18500,demo activity unit,28390.6,33.401,7.869,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
AQ-2025-007,2025,R02,Cagayan Valley,Synthetic Permitted Source 07,fuel oil,11617.2,demo activity unit,13778.1,18.135,13.754,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
AQ-2025-008,2025,MIMAROPA,MIMAROPA Region,Synthetic Permitted Source 08,LPG,16167,demo activity unit,7790.7,12.934,2.349,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
AQ-2025-009,2025,R07,Central Visayas,Synthetic Permitted Source 09,coal,493.3,demo activity unit,1143.4,0.403,0.73,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
AQ-2025-010,2025,R10,Northern Mindanao,Synthetic Permitted Source 10,biomass,3404.6,demo activity unit,1082.3,0.311,0.972,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
AQ-2025-011,2025,R13,Caraga,Synthetic Permitted Source 11,diesel,25578.5,demo activity unit,17195.8,20.613,8.145,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
AQ-2025-012,2025,CAR,Cordillera Administrative Region,Synthetic Permitted Source 12,fuel oil,39618.6,demo activity unit,104790,158.599,46.496,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
AQ-2025-013,2025,R03,Central Luzon,Synthetic Permitted Source 13,LPG,44898.6,demo activity unit,97873.8,172.315,15.993,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
AQ-2025-014,2025,R05,Bicol Region,Synthetic Permitted Source 14,coal,2251.5,demo activity unit,1984.2,2.099,0.132,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
AQ-2025-015,2025,R08,Eastern Visayas,Synthetic Permitted Source 15,biomass,38680.1,demo activity unit,21536.5,37.577,8.154,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
AQ-2025-016,2025,R11,Davao Region,Synthetic Permitted Source 16,diesel,36044.9,demo activity unit,79957.3,151.136,78.905,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
AQ-2025-017,2025,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,Synthetic Permitted Source 17,fuel oil,966.6,demo activity unit,792.9,0.872,0.401,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
AQ-2025-018,2025,R01,Ilocos Region,Synthetic Permitted Source 18,LPG,18828.4,demo activity unit,34208.5,38.997,19.666,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
AQ-2025-019,2025,R04A,CALABARZON,Synthetic Permitted Source 19,coal,43485.4,demo activity unit,108717.7,120.95,10.386,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
AQ-2025-020,2025,R06,Western Visayas,Synthetic Permitted Source 20,biomass,35609.1,demo activity unit,78744.1,22.584,48.714,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
AQ-2025-021,2025,R09,Zamboanga Peninsula,Synthetic Permitted Source 21,diesel,15166.3,demo activity unit,15182.6,22.52,14.58,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
AQ-2025-022,2025,R12,SOCCSKSARGEN,Synthetic Permitted Source 22,fuel oil,11790.3,demo activity unit,26312.7,50.173,4.999,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
AQ-2025-023,2025,NCR,National Capital Region,Synthetic Permitted Source 23,LPG,27943.5,demo activity unit,39547.7,36.748,25.553,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
AQ-2025-024,2025,R02,Cagayan Valley,Synthetic Permitted Source 24,coal,28799.4,demo activity unit,49092.9,88.949,18.222,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
AQ-2025-025,2025,MIMAROPA,MIMAROPA Region,Synthetic Permitted Source 25,biomass,38254.6,demo activity unit,74132.2,88.257,61.195,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
AQ-2025-026,2025,R07,Central Visayas,Synthetic Permitted Source 26,diesel,31470.2,demo activity unit,6177.6,3.169,1.823,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
AQ-2025-027,2025,R10,Northern Mindanao,Synthetic Permitted Source 27,fuel oil,18753.1,demo activity unit,49327.2,21.07,45.776,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
AQ-2025-028,2025,R13,Caraga,Synthetic Permitted Source 28,LPG,32792.5,demo activity unit,63969.4,21.179,60.26,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
AQ-2025-029,2025,CAR,Cordillera Administrative Region,Synthetic Permitted Source 29,coal,5029.9,demo activity unit,12223.3,24.413,4.773,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
AQ-2025-030,2025,R03,Central Luzon,Synthetic Permitted Source 30,biomass,15731.4,demo activity unit,2128.3,3.913,1.587,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
AQ-2025-031,2025,R05,Bicol Region,Synthetic Permitted Source 31,diesel,32872.7,demo activity unit,42832,82.289,9.074,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
AQ-2025-032,2025,R08,Eastern Visayas,Synthetic Permitted Source 32,fuel oil,16665.7,demo activity unit,5798.3,6.987,2.284,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
AQ-2025-033,2025,R11,Davao Region,Synthetic Permitted Source 33,LPG,46626.3,demo activity unit,17693.7,11.013,2.883,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
AQ-2025-034,2025,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao,Synthetic Permitted Source 34,coal,274.2,demo activity unit,32.9,0.022,0.019,DENR-EMB AQMS / Regional Office,SYNTHETIC_DEMO
